iter	Passed	Remaining
883	91068	11950
884	91162	11846
885	91273	11743
886	91367	11639
887	91463	11535
888	91562	11432
889	91665	11329
890	91771	11226
891	91880	11124
892	91979	11021
893	92081	10917
894	92173	10813
895	92273	10710
896	92371	10606
897	92468	10503
898	92574	10400
899	92676	10297
900	92772	10193
901	92868	10089
902	92961	9985
903	93054	9881
904	93146	9777
905	93239	9673
906	93336	9570
907	93436	9467
908	93541	9364
909	93639	9261
910	93743	9158
911	93848	9055
912	93952	8952
913	94054	8849
914	94155	8746
915	94257	8643
916	94358	8540
917	94451	8436
918	94553	8333
919	94656	8231
920	94765	8128
921	94866	8025
922	94968	7922
923	95070	7819
924	95167	7716
925	95266	7613
926	95369	7510
927	95466	7406
928	95564	7303
929	95663	7200
930	95768	7097
931	95863	6994
932	95957	6890
933	96065	6788
934	96165	6685
935	96275	6582
936	96388	6480
937	96485	6377
938	96581	6274
939	96681	6171
940	96773	6067
941	96870	5964
942	96981	5862
943	97081	5759
944	97181	5656
945	97278	5552
946	97379	5449
947	97474	5346
948	97581	5244
949	97681	5141
950	97779	5038
951	97878	4935
952	97976	4832
953	98083	4729
954	98176	4626
955	98282	4523
956	98383	4420
957	98486	4317
958	98584	4214
959	98692	4112
960	98787	4009
961	98880	3905
962	98973	3802
963	99086	3700
964	99187	3597
965	99285	3494
966	99383	3391
967	99483	3288
968	99598	3186
969	99715	3083
970	99819	2981
971	99924	2878
972	100027	2775
973	100124	2672
974	100221	2569
975	100323	2466
976	100421	2364
977	100530	2261
978	100627	2158
979	100727	2055
980	100820	1952
981	100916	1849
982	101015	1746
983	101105	1643
984	101203	1541
985	101306	1438
986	101403	1335
987	101508	1232
988	101605	1130
989	101698	1027
990	101791	924
991	101894	821
992	101984	718
993	102082	616
994	102182	513
995	102284	410
996	102382	308
997	102480	205
998	102574	102
999	102665	0
