Year,Month,Date,Rank,Name_of_team,Members,Link
2023,january,2,#33,HAVU,"{'Name_player_1': ""Jesse 'zehN' Linjala"", 'Link_player_1': 'https://www.hltv.org/player/1378/zehn', 'Name_player_2': ""Jani 'Aerial' Jussila"", 'Link_player_2': 'https://www.hltv.org/player/4076/aerial', 'Name_player_3': ""Sami 'xseveN' Laasanen"", 'Link_player_3': 'https://www.hltv.org/player/7248/xseven', 'Name_player_4': ""Joonas 'doto' Forss"", 'Link_player_4': 'https://www.hltv.org/player/9819/doto', 'Name_player_5': ""Jarkko 'spargo' Rahja"", 'Link_player_5': 'https://www.hltv.org/player/15565/spargo'}",https://www.hltv.org/team/7865/havu
2023,january,2,#34,HEET,"{'Name_player_1': ""Audric 'JACKZ' Jug"", 'Link_player_1': 'https://www.hltv.org/player/284/jackz', 'Name_player_2': ""Alexandre 'bodyy' Pianaro"", 'Link_player_2': 'https://www.hltv.org/player/8374/bodyy', 'Name_player_3': ""Thomas 'Djoko' Pavoni"", 'Link_player_3': 'https://www.hltv.org/player/19738/djoko', 'Name_player_4': ""Pierre 'Ex3rcice' Bulinge"", 'Link_player_4': 'https://www.hltv.org/player/19739/ex3rcice', 'Name_player_5': ""Aurélien 'afro' Drapier"", 'Link_player_5': 'https://www.hltv.org/player/19926/afro'}",https://www.hltv.org/team/11501/heet
2023,january,2,#35,Fluxo,"{'Name_player_1': ""João 'felps' Vasconcellos"", 'Link_player_1': 'https://www.hltv.org/player/9219/felps', 'Name_player_2': ""Adriano 'WOOD7' Cerato"", 'Link_player_2': 'https://www.hltv.org/player/14390/wood7', 'Name_player_3': ""Vinicius 'vsm' Moreira"", 'Link_player_3': 'https://www.hltv.org/player/16816/vsm', 'Name_player_4': ""Lucas 'Lucaozy' Neves"", 'Link_player_4': 'https://www.hltv.org/player/18717/lucaozy', 'Name_player_5': ""Lucas 'lux' Meneghini"", 'Link_player_5': 'https://www.hltv.org/player/20563/lux'}",https://www.hltv.org/team/11837/fluxo
2023,january,2,#36,00NATION,"{'Name_player_1': ""Marcelo 'coldzera' David"", 'Link_player_1': 'https://www.hltv.org/player/9216/coldzera', 'Name_player_2': ""Epitacio 'TACO' de Melo"", 'Link_player_2': 'https://www.hltv.org/player/9217/taco', 'Name_player_3': ""Eduardo 'dumau' Wolkmer"", 'Link_player_3': 'https://www.hltv.org/player/15698/dumau', 'Name_player_4': ""Bruno 'latto' Rebelatto"", 'Link_player_4': 'https://www.hltv.org/player/19045/latto', 'Name_player_5': ""Santino 'try' Rigal"", 'Link_player_5': 'https://www.hltv.org/player/19869/try'}",https://www.hltv.org/team/11309/00nation
2023,january,2,#37,FORZE,"{'Name_player_1': ""Vladislav 'Krad' Kravchenko"", 'Link_player_1': 'https://www.hltv.org/player/12027/krad', 'Name_player_2': ""Andrey 'Jerry' Mekhryakov"", 'Link_player_2': 'https://www.hltv.org/player/13157/jerry', 'Name_player_3': ""Aleksandr 'zorte' Zagodyrenko"", 'Link_player_3': 'https://www.hltv.org/player/15662/zorte', 'Name_player_4': ""Aleksandr 'shalfey' Marenov"", 'Link_player_4': 'https://www.hltv.org/player/17011/shalfey'}",https://www.hltv.org/team/8135/forze
2023,january,2,#38,Apeks,"{'Name_player_1': ""Martin 'STYKO' Styk"", 'Link_player_1': 'https://www.hltv.org/player/6904/styko', 'Name_player_2': ""Joakim 'jkaem' Myrbostad"", 'Link_player_2': 'https://www.hltv.org/player/8248/jkaem', 'Name_player_3': ""Tim 'nawwk' Jonasson"", 'Link_player_3': 'https://www.hltv.org/player/13670/nawwk', 'Name_player_4': ""Justinas 'jL' Lekavicius"", 'Link_player_4': 'https://www.hltv.org/player/19206/jl', 'Name_player_5': ""Damjan 'kyxsan' Stoilkovski"", 'Link_player_5': 'https://www.hltv.org/player/19677/kyxsan'}",https://www.hltv.org/team/9806/apeks
2023,january,2,#39,TeamOne,"{'Name_player_1': ""Pedro 'Maluk3' Campos"", 'Link_player_1': 'https://www.hltv.org/player/2529/maluk3', 'Name_player_2': ""Victor 'iDk' Torraca"", 'Link_player_2': 'https://www.hltv.org/player/10818/idk', 'Name_player_3': ""Alencar 'trk' Rossato"", 'Link_player_3': 'https://www.hltv.org/player/11163/trk', 'Name_player_4': ""Mario 'malbsMd' Samayoa"", 'Link_player_4': 'https://www.hltv.org/player/11617/malbsmd', 'Name_player_5': ""Matheus 'pesadelo' Panisset"", 'Link_player_5': 'https://www.hltv.org/player/17553/pesadelo'}",https://www.hltv.org/team/6947/teamone
2023,january,2,#40,ATK,"{'Name_player_1': ""Rhys 'Fadey' Armstrong"", 'Link_player_1': 'https://www.hltv.org/player/10611/fadey', 'Name_player_2': ""Jonathan 'djay' Dallal"", 'Link_player_2': 'https://www.hltv.org/player/12102/djay', 'Name_player_3': ""Jonathan 'b0denmaster' Bodenmalm"", 'Link_player_3': 'https://www.hltv.org/player/15501/b0denmaster', 'Name_player_4': ""Michael 'Swisher' Schmid"", 'Link_player_4': 'https://www.hltv.org/player/16599/swisher', 'Name_player_5': ""Gareth 'MisteM' Ries"", 'Link_player_5': 'https://www.hltv.org/player/16811/mistem'}",https://www.hltv.org/team/9943/atk
2023,january,2,#41,Eternal Fire,"{'Name_player_1': ""Engin 'MAJ3R' Küpeli"", 'Link_player_1': 'https://www.hltv.org/player/150/maj3r', 'Name_player_2': ""Ismailcan 'XANTARES' Dörtkardeş"", 'Link_player_2': 'https://www.hltv.org/player/7938/xantares', 'Name_player_3': ""Buğra 'Calyx' Arkın"", 'Link_player_3': 'https://www.hltv.org/player/8575/calyx', 'Name_player_4': ""Ömer 'imoRR' Karataş"", 'Link_player_4': 'https://www.hltv.org/player/15835/imorr', 'Name_player_5': ""Yasin 'xfl0ud' Koç"", 'Link_player_5': 'https://www.hltv.org/player/19187/xfl0ud'}",https://www.hltv.org/team/11251/eternal-fire
2023,january,2,#42,EG Black,"{'Name_player_1': ""William 'RUSH' Wierzba"", 'Link_player_1': 'https://www.hltv.org/player/7805/rush', 'Name_player_2': ""Peter 'stanislaw' Jarguz"", 'Link_player_2': 'https://www.hltv.org/player/8507/stanislaw', 'Name_player_3': ""Colby 'Walco' Walsh"", 'Link_player_3': 'https://www.hltv.org/player/17929/walco', 'Name_player_4': ""Jerric 'wiz' Jiang"", 'Link_player_4': 'https://www.hltv.org/player/17930/wiz', 'Name_player_5': ""Jeorge 'Jeorge'  Endicott"", 'Link_player_5': 'https://www.hltv.org/player/20333/jeorge'}",https://www.hltv.org/team/11735/eg-black
